"zipcode","latitude","longitude"
"1187","46.498721","6.3082679"
"1188","46.5089236","6.3070078"
"1188","46.514293","6.2604696"
"1189","46.5143439","6.3304638"
"1195","46.4365383","6.3070975"
"1195","46.4365383","6.3070975"
"1195","46.4365383","6.3070975"
"1196","46.4167843","6.2716677"
"1197","46.3983407","6.2563283"
"1200","46.211672","6.134562"
"1201","46.2095516","6.1450463"
"1202","46.2218641","6.1393057"
"1203","46.2059929","6.1219092"
"1204","46.2035452","6.1451503"
"1205","46.1902742","6.1464841"
"1206","46.1896788","6.1575397"
"1207","46.2050242","6.1622535"
"1208","46.1976084","6.1662456"
"1209","46.2214936","6.1238396"
"1211","46.2073038","6.1477697"
"1211","46.229999","6.128719"
"1211","46.229999","6.128719"
"1211","46.229999","6.128719"
"1211","46.229999","6.128719"
"1211","46.229999","6.128719"
"1211","46.229999","6.128719"
"1211","46.191076","6.1441234"
"1211","46.201346","6.148256"
"1211","46.229999","6.128719"
"1211","46.229999","6.128719"
"1211","46.229999","6.128719"
"1211","46.229999","6.128719"
"1211","46.229999","6.128719"
"1211","46.229999","6.128719"
"1211","46.229999","6.128719"
"1211","46.229999","6.128719"
"1211","46.2000323","6.1638785"
"1211","46.2000323","6.1638785"
"1211","46.2030137","6.1573693"
"1211","46.2091832","6.1390686"
"1211","46.229999","6.128719"
"1211","46.2000323","6.1638785"
"1211","46.229999","6.128719"
"1211","46.2011306","6.1281439"
"1211","46.2000323","6.1638785"
"1212","46.1617643","6.1105463"
"1212","46.1781048","6.1233726"
"1212","46.1870115","6.1238976"
"1212","46.1772299","6.1213228"
"1212","46.1627637","6.1284297"
"1213","46.1945732","6.1110751"
"1213","46.183541","6.1002345"
"1213","46.1923106","6.1155847"
"1213","46.1901112","6.1182661"
"1214","46.2153264","6.0819838"
"1215","46.2372458","6.1158639"
"1216","46.2265356","6.1040385"
"1217","46.2415761","6.0858228"
"1217","46.2349075","6.0749791"
"1217","46.232133","6.082336"
"1217","46.228225","6.072414"
"1218","46.234773","6.122495"
"1218","46.234773","6.122495"
"1219","46.2071753","6.0998024"
"1219","46.2071753","6.0998024"
"1219","46.2071753","6.0998024"
"1220","46.2204903","6.1089423"
"1222","46.2445366","6.2086388"
"1222","46.23475","6.20388"
"1222","46.2492381","6.2215834"
"1222","46.254","6.22235"
"1222","46.23936","6.19754"
"1223","46.2122077","6.1848004"
"1224","46.1976731","6.1872455"
"1225","46.19735","6.19731"
"1225","46.6185424","7.1386094"
"1225","46.19735","6.19731"
"1225","46.1837441","6.1850573"
"1226","46.1928374","6.202767"
"1227","46.1829674","6.1378539"
"1227","46.187006","6.1336801"
"1227","46.1861243","6.1344098"
"1228","46.1655214","6.116018"
"1231","46.186351","6.1755179"
"1232","46.1740305","6.0835592"
"1233","46.1771419","6.0764849"
"1233","46.1771419","6.0764849"
"1233","46.1771419","6.0764849"
"1233","46.16338","6.07303"
"1233","46.1771419","6.0764849"
"1234","46.1722951","6.1446877"
"1234","46.1824417","6.1666044"
"1236","46.1741622","6.0195753"
"1237","46.1696093","6.0013782"
"1239","46.2781565","6.1129842"
"1239","46.2806484","6.1183429"
"1239","46.2624516","6.1222817"
"1240","46.199444","6.1451157"
"1241","46.2105553","6.2317139"
"1241","46.2105553","6.2317139"
"1242","46.22346","6.03876"
"1242","46.22257","6.02768"
"1242","46.21055","6.02128"
"1242","46.20109","6.04288"
"1242","46.215764","6.0332425"
"1243","46.21208","6.25163"
"1243","46.218603","6.2535283"
"1244","46.220249","6.223224"
"1244","46.2243403","6.2266636"
"1245","46.2568613","6.2029085"
"1246","46.2626285","6.2294181"
"1247","46.2746564","6.2292391"
"1247","46.28462","6.23994"
"1248","46.2905303","6.246758"
"1251","46.2495945","6.2547728"
"1251","46.2506196","6.2485643"
"1252","46.2393861","6.244161"
"1252","46.2467593","6.2343577"
"1253","46.2185","6.19822"
"1253","46.2298","6.20589"
"1253","46.2213459","6.202417"
"1254","46.2347656","6.2652187"
"1254","46.2289531","6.2574315"
"1254","46.2420974","6.3065767"
"1255","46.178003","6.1826345"
"1255","46.1695143","6.1755464"
"1256","46.1612237","6.1513978"
"1257","46.1503619","6.1052649"
"1257","46.1480189","6.1181885"
"1257","46.14465","6.13602"
"1257","46.1444076","6.1298295"
"1258","46.1565","6.08236"
"1258","46.1553483","6.0945809"
"1260","46.3767984","6.2245497"
"1260","46.3805092","6.2298735"
"1260","46.3765573","6.2265601"
"1260","46.3841891","6.2180005"
"1261","46.4781748","6.2388488"
"1261","46.4951923","6.2585349"
"1261","46.4878378","6.2470386"
"1262","46.381576","6.2088848"
"1263","46.3744662","6.1635803"
"1264","46.4547841","6.1123853"
"1264","46.4431161","6.1420428"
"1265","46.4556345","6.0884027"
"1266","46.4095455","6.2367825"
"1267","46.4245549","6.2361235"
"1267","46.4288507","6.2504103"
"1267","46.4256115","6.2425618"
"1268","46.4408426","6.2477524"
"1268","46.4675773","6.2569481"
"1269","46.4662366","6.2315413"
"1270","46.4153505","6.2048921"
"1271","46.428946","6.2018779"
"1272","46.4349956","6.217922"
"1273","46.4539308","6.2197184"
"1274","46.3931344","6.1908042"
"1274","46.39011","6.19644"
"1274","46.397494","6.205832"
"1275","46.40057","6.17475"
"1276","46.4256801","6.1523667"
"1277","46.3752208","6.1915674"
"1277","46.3786499","6.1774963"
"1278","46.3815158","6.150842"
