"zipcode","latitude","longitude"
"01000",46.20395,5.2075
"01090",46.09006666666667,4.786716666666667
"01100",46.241285714285716,5.636914285714285
"01110",45.978472727272724,5.572272727272727
"01120",45.8537,5.057371428571429
"01130",46.181254545454536,5.7108727272727275
"01140",46.15891250000001,4.838775
"01150",45.87985454545455,5.336654545454547
"01160",46.06332857142856,5.317828571428571
"01170",46.3163,6.048325
"01190",46.423983333333325,4.956758333333334
"01200",46.11923636363636,5.824672727272727
"01210",46.2777,6.102333333333333
"01220",46.3348,6.123666666666668
"01230",45.93504545454545,5.470018181818182
"01240",46.094649999999994,5.1285125
"01250",46.2052105263158,5.378257894736841
"01260",45.95809285714286,5.6863785714285715
"01270",46.37678571428571,5.317328571428571
"01280",46.2539,6.0817
"01290",46.24109,4.88572
"01300",45.735257142857144,5.669467857142857
"01310",46.2347,5.1159125
"01320",46.00129999999999,5.207666666666666
"01330",45.99699999999999,5.0077750000000005
"01340",46.33295454545454,5.117609090909091
"01350",45.828788888888894,5.756111111111112
"01360",45.83934000000001,5.1304
"01365",45.8502,5.1234
"01366",45.8502,5.1234
"01369",45.8502,5.1234
"01370",46.29182857142858,5.345614285714285
"01380",46.31415714285714,4.965571428571429
"01390",45.93056249999999,4.926337500000001
"01400",46.137950000000004,4.98958
"01410",46.29222,5.9195
"01420",45.99538,5.804679999999999
"01430",46.10062,5.537780000000001
"01440",46.2548,5.2157
"01450",46.11838888888888,5.458633333333334
"01460",46.174299999999995,5.5663833333333335
"01470",45.80391999999999,5.4680599999999995
"01480",46.010033333333325,4.7917000000000005
"01500",45.96436250000001,5.3359250000000005
"01510",45.848927272727266,5.636799999999998
"01540",46.22186666666666,4.976166666666667
"01550",46.14853333333334,5.9191666666666665
"01560",46.443225000000005,5.112133333333333
"01570",46.359674999999996,4.88625
"01580",46.243525000000005,5.55535
"01590",46.332966666666664,5.6631
"01600",45.94482222222223,4.801111111111111
"01620",46.3111,4.8796
"01630",46.21686,5.97478
"01640",46.02565,5.42285
"01660",46.216100000000004,5.0624
"01680",45.75485,5.554233333333333
"01700",45.828175,4.967499999999999
"01710",46.2376,5.9811
"01750",46.29806666666667,4.8711
"01800",45.901041666666664,5.167416666666667
"01851",46.3434,5.2598
"01960",46.15786666666667,5.146766666666666
"01990",46.09245,4.9006
"02000",49.53854615384614,3.5761192307692307
"02100",49.86960909090909,3.310754545454545
"02110",49.96982173913044,3.448217391304349
"02120",49.891465384615394,3.6521807692307693
"02130",49.190638095238086,3.5587000000000004
"02140",49.81353636363635,3.8903999999999996
"02150",49.579274999999996,3.97715
"02160",49.38740769230769,3.721715384615386
"02170",50.007780000000004,3.78284
"02190",49.43974117647059,3.9847411764705885
"02200",49.35357692307692,3.3238000000000003
"02210",49.214914814814804,3.3533629629629624
"02220",49.32338666666666,3.548646666666666
"02230",49.9476,3.4184
"02240",49.77565294117647,3.425835294117647
"02250",49.74162777777778,3.7895944444444436
"02260",49.955141666666655,3.8998416666666667
"02270",49.70648095238095,3.6035047619047624
"02290",49.421605882352935,3.1881176470588235
"02300",49.58675806451612,3.181558064516129
"02310",48.991381818181814,3.274063636363636
"02320",49.51144166666666,3.453091666666667
"02330",48.98806666666666,3.5604066666666667
"02340",49.68941875,4.033881249999999
"02350",49.64014666666666,3.831493333333333
"02360",49.74986666666668,4.140983333333333
"02370",49.40645000000001,3.52395
"02380",49.515499999999996,3.3439363636363635
"02390",49.839400000000005,3.4871
"02400",49.06046956521739,3.3900217391304355
"02410",49.58853333333334,3.3908
"02420",49.964664705882356,3.251694117647059
"02430",49.8276,3.2737
"02440",49.74034285714286,3.2814428571428573
"02450",50.000057142857145,3.6856142857142857
"02460",49.1901,3.1473
"02470",49.15938888888889,3.2321444444444443
"02480",49.74410999999999,3.1572299999999998
"02490",49.89218,3.16054
"02500",49.88887777777778,4.088127777777778
"02510",49.973175,3.643375
"02520",49.713,3.1915
"02540",48.90545,3.45396
"02550",49.8933,4.0164
"02570",48.966033333333336,3.389
"02580",49.90576666666667,3.8877333333333333
"02590",49.808841666666666,3.1318083333333333
"02600",49.28126923076923,3.144953846153846
"02610",49.75,3.3667
"02620",49.9666,3.8359
"02630",49.99036666666667,3.5710333333333337
"02640",49.75215,3.1667500000000004
"02650",49.05483333333333,3.4996666666666667
"02670",49.54205,3.2727500000000003
"02680",49.806920000000005,3.2404
"02690",49.78425,3.29375
"02700",49.63815999999999,3.30637
"02720",49.84336666666667,3.3758
"02760",49.85685,3.2199999999999998
"02790",49.7833,3.2167
"02800",49.66883125,3.39751875
"02810",49.09970833333333,3.2165250000000007
"02820",49.50161818181818,3.816636363636363
"02830",49.90945,4.1663499999999996
"02840",49.558887500000004,3.7302
"02850",49.08057142857143,3.5581428571428577
"02860",49.48984545454544,3.6752090909090906
"02870",49.598771428571425,3.525714285714286
"02880",49.42351666666666,3.387122222222222
"03000",46.56785,3.2922833333333337
"03100",46.325,2.6
"03110",46.16107777777778,3.3293888888888894
"03120",46.220130769230764,3.6536615384615385
"03130",46.345592857142854,3.838471428571428
"03140",46.238640000000004,3.161353333333333
"03150",46.29508,3.4553
"03160",46.609557142857135,3.034028571428571
"03170",46.35138571428571,2.769557142857143
"03190",46.47270714285714,2.653807142857143
"03200",46.1079,3.442466666666667
"03210",46.518258333333335,3.1734916666666666
"03220",46.37625,3.6005416666666665
"03230",46.62921,3.58373
"03240",46.405525000000004,3.0838374999999996
"03250",46.04203636363637,3.6840090909090906
"03260",46.21933333333334,3.45355
"03270",46.05875,3.481475
"03290",46.50966666666667,3.695233333333333
